Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,clean_value
2021,MAY,STATE,39,6,TOTAL,"19,650,000",19650000
2021,MAY,STATE,,6,TOTAL,"209,684,000",209684000
2021,MAY,STATE,42,6,TOTAL,"37,935,000",37935000
2021,MAY,STATE,46,6,TOTAL,"44,052,000",44052000
2021,MAY,STATE,50,6,TOTAL,"11,862,000",11862000
2021,MAY,STATE,55,6,TOTAL,"294,996,000",294996000
2021,NOV,STATE,6,6,TOTAL,"203,793,000",203793000
2021,NOV,STATE,16,6,TOTAL,"77,288,000",77288000
2021,NOV,STATE,17,6,TOTAL,"5,282,000",5282000
2021,NOV,STATE,19,6,TOTAL,"27,847,000",27847000
2021,NOV,STATE,27,6,TOTAL,"64,340,000",64340000
2021,NOV,STATE,34,6,TOTAL,"5,219,000",5219000
2021,NOV,STATE,35,6,TOTAL,"78,819,000",78819000
2021,NOV,STATE,36,6,TOTAL,"73,454,000",73454000
2021,NOV,STATE,39,6,TOTAL,"22,082,000",22082000
2021,NOV,STATE,,6,TOTAL,"210,830,000",210830000
2021,NOV,STATE,42,6,TOTAL,"36,208,000",36208000
2021,NOV,STATE,46,6,TOTAL,"44,422,000",44422000
2021,NOV,STATE,50,6,TOTAL,"12,209,000",12209000
2021,NOV,STATE,55,6,TOTAL,"288,270,000",288270000
2021,OCT,STATE,6,6,TOTAL,"205,720,000",205720000
2021,OCT,STATE,16,6,TOTAL,"87,611,000",87611000
2021,OCT,STATE,17,6,TOTAL,"5,939,000",5939000
2021,OCT,STATE,19,6,TOTAL,"28,708,000",28708000
2021,OCT,STATE,27,6,TOTAL,"68,353,000",68353000
2021,OCT,STATE,34,6,TOTAL,"5,967,000",5967000
2021,OCT,STATE,35,6,TOTAL,"81,729,000",81729000
2021,OCT,STATE,36,6,TOTAL,"73,212,000",73212000
2021,OCT,STATE,39,6,TOTAL,"21,082,000",21082000
2021,OCT,STATE,,6,TOTAL,"212,476,000",212476000
2021,OCT,STATE,42,6,TOTAL,"36,286,000",36286000
2021,OCT,STATE,46,6,TOTAL,"45,779,000",45779000
2021,OCT,STATE,50,6,TOTAL,"12,011,000",12011000
2021,OCT,STATE,55,6,TOTAL,"285,867,000",285867000
2021,SEP,STATE,6,6,TOTAL,"196,098,000",196098000
2021,SEP,STATE,16,6,TOTAL,"83,340,000",83340000
2021,SEP,STATE,17,6,TOTAL,"4,952,000",4952000
2021,SEP,STATE,19,6,TOTAL,"27,425,000",27425000
2021,SEP,STATE,27,6,TOTAL,"63,814,000",63814000
2021,SEP,STATE,34,6,TOTAL,"5,752,000",5752000
2021,SEP,STATE,35,6,TOTAL,"75,780,000",75780000
2021,SEP,STATE,36,6,TOTAL,"72,376,000",72376000
2021,SEP,STATE,39,6,TOTAL,"20,155,000",20155000
2021,SEP,STATE,,6,TOTAL,"206,547,000",206547000
2021,SEP,STATE,42,6,TOTAL,"35,033,000",35033000
2021,SEP,STATE,46,6,TOTAL,"43,621,000",43621000
2021,SEP,STATE,50,6,TOTAL,"11,385,000",11385000
2021,SEP,STATE,55,6,TOTAL,"286,739,000",286739000
2021,YEAR,STATE,6,6,TOTAL,"2,438,397,000",2438397000
2021,YEAR,STATE,16,6,TOTAL,"1,004,673,000",1004673000
2021,YEAR,STATE,17,6,TOTAL,"65,211,000",65211000
2021,YEAR,STATE,19,6,TOTAL,"343,703,000",343703000
2021,YEAR,STATE,27,6,TOTAL,"772,106,000",772106000
2021,YEAR,STATE,34,6,TOTAL,"60,884,000",60884000
2021,YEAR,STATE,35,6,TOTAL,"957,829,000",957829000
2021,YEAR,STATE,36,6,TOTAL,"846,161,000",846161000
2021,YEAR,STATE,39,6,TOTAL,"249,341,000",249341000
2021,YEAR,STATE,,6,TOTAL,"2,439,622,000",2439622000
2021,YEAR,STATE,42,6,TOTAL,"427,990,000",427990000
2021,YEAR,STATE,46,6,TOTAL,"518,901,000",518901000
2021,YEAR,STATE,50,6,TOTAL,"143,420,000",143420000
2021,YEAR,STATE,55,6,TOTAL,"3,492,789,000",3492789000
2020,APR,STATE,6,6,TOTAL,"197,806,000",197806000
2020,APR,STATE,16,6,TOTAL,"85,524,000",85524000
2020,APR,STATE,17,6,TOTAL,"4,940,000",4940000
2020,APR,STATE,19,6,TOTAL,"28,613,000",28613000
2020,APR,STATE,27,6,TOTAL,"61,951,000",61951000
2020,APR,STATE,34,6,TOTAL,"3,913,000",3913000
2020,APR,STATE,35,6,TOTAL,"77,067,000",77067000
2020,APR,STATE,36,6,TOTAL,"65,064,000",65064000
2020,APR,STATE,39,6,TOTAL,"18,498,000",18498000
2020,APR,STATE,,6,TOTAL,"195,179,000",195179000
2020,APR,STATE,42,6,TOTAL,"35,625,000",35625000
